year,title,imdb_id,id,rating,runtime,release_date,original_language,Western,Romance,War,Crime,TV Movie,Foreign,History,Thriller,Action,Horror,Fantasy,Animation,Adventure,Mystery,Drama,Family,Music,Comedy,avg_cast_gender,directing_avg_gender,production_avg_gender,writing_avg_gender,original_title
1912,Cleopatra,0002101,2003,2,88,1912,en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,,1.0,,Cleopatra
1917,"Poor Little Rich Girl, The",0008443,1994,3,78,1917,en,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.4,2.0,,1.0,The Poor Little Rich Girl
1918,Stella Maris,0009652,2007,3,84,1918,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5,2.0,,1.5,Stella Maris
1919,Broken Blossoms or The Yellow Man and the Girl,0009968,2588,0,90,1919,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.75,2.0,2.0,2.0,Broken Blossoms
1920,"Cabinet of Dr. Caligari, The",0010323,1306,0,78,1920,de,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2.0,2.0,2.0,2.0,Das Cabinet des Dr. Caligari
1921,Orphans of the Storm,0012532,1263,3,150,1921,en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.5,2.0,2.0,2.0,Orphans of the Storm
1921,"Kid, The",0012349,3945,0,68,1921,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.7,2.0,2.0,2.0,The Kid
1921,"Blot, The",0011979,4204,3,90,1921,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5,,,,The Blot
1922,"Nosferatu, eine Symphonie des Grauens",0013442,1307,2,94,1922,de,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.6666666666666667,2.0,,2.0,"Nosferatu, eine Symphonie des Grauens"
1922,"Phantom, The",0013496,1631,2,125,1922,de,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.2857142857142858,2.0,2.0,1.0,Phantom
1922,Foolish Wives,0013140,5958,3,117,1922,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6666666666666667,,2.0,,Foolish Wives
1923,Safety Last!,0014429,1961,0,70,1923,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6666666666666667,2.0,,2.0,Safety Last!
1923,Why Worry?,0014611,1967,0,60,1923,en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.75,2.0,2.0,2.0,Why Worry?
1923,Our Hospitality,0014341,5949,0,73,1923,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.875,2.0,2.0,2.0,Our Hospitality
1923,A Woman of Paris,0014624,8947,2,78,1923,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6666666666666667,2.0,2.0,2.0,A Woman of Paris: A Drama of Fate
1924,Die Nibelungen,0015175,1337,2,140,1924,de,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2.0,2.0,,1.0,Die Nibelungen: Siegfried
1924,Kriemhild&#39;s Revenge,0015174,1338,2,129,1924,de,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2.0,2.0,2.0,1.0,Die Nibelungen: Kriemhilds Rache
1924,"Thief of Bagdad, The",0015400,1264,0,149,1924,en,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1.75,2.0,2.0,2.0,The Thief of Bagdad
1924,Wild Oranges,0015498,1960,0,76,1924,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.75,2.0,,,Wild Oranges
1924,Girl Shy,0014945,2016,0,80,1924,en,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.5,2.0,2.0,2.0,Girl Shy
1924,Greed,0015881,8458,3,140,1924,en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.5,,2.0,1.5,Greed
1925,"Phantom of the Opera, The",0016220,1305,2,101,1925,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.75,2.0,2.0,2.0,The Phantom of the Opera
1925,"Gold Rush, The",0015864,1309,0,95,1925,en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1.8235294117647056,2.0,2.0,2.0,The Gold Rush
1925,Go West,0015863,1978,0,69,1925,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,2.0,2.0,2.0,Go West
1925,"Freshman, The",0015841,2012,0,76,1925,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,2.0,,2.0,The Freshman
1925,"Lost World, The",0016039,5514,2,106,1925,en,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1.7,,,1.5,The Lost World
1925,"Big Parade, The",0015624,5962,2,151,1925,en,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.4444444444444444,2.0,2.0,2.0,The Big Parade
1926,"Temptress, The",0017449,1334,1,117,1926,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8,2.0,,1.5,The Temptress
1926,Flesh and the Devil,0016884,1260,1,112,1926,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5555555555555556,2.0,,2.0,Flesh and the Devil
1926,"General, The",0017925,1310,0,79,1926,en,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1.9230769230769231,2.0,2.0,2.0,The General
1927,It,0018033,1227,3,72,1927,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.6666666666666667,2.0,,1.5,It
1927,Metropolis,0017136,1267,1,153,1927,de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7333333333333334,2.0,2.0,1.3333333333333333,Metropolis
1927,"Unknown, The",0018528,1311,0,63,1927,en,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.8333333333333333,2.0,,2.0,The Unknown
1927,Sunrise: A Song of Two Humans,0018455,1632,2,94,1927,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7333333333333334,2.0,,2.0,Sunrise: A Song of Two Humans
1927,"Kid Brother, The",0018051,1964,0,82,1927,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.8333333333333333,2.0,,2.0,The Kid Brother
1927,My Best Girl,0018183,2010,3,80,1927,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.75,2.0,1.0,1.5,My Best Girl
1927,Wings,0018578,3118,1,141,1927,en,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.7,2.0,,2.0,Wings
1927,"Jazz Singer, The",0018037,5975,1,89,1927,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.625,2.0,2.0,2.0,The Jazz Singer
1927,Downhill [When Boys Leave Home],0017825,7324,1,110,1927,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.2,2.0,2.0,1.5,Downhill
1927,"Cat and the Canary, The",0017739,11142,3,82,1927,en,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1.625,2.0,,2.0,The Cat and the Canary
1928,"Passion of Joan of Arc, The",0019254,1314,0,110,1928,fr,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,2.0,,2.0,La passion de Jeanne d'Arc
1928,Speedy,0019412,1963,0,86,1928,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9090909090909092,2.0,2.0,2.0,Speedy
