year,title,imdb_id,id,rating,runtime,release_date,original_language,Western,Romance,War,Crime,TV Movie,Foreign,History,Thriller,Action,Horror,Fantasy,Animation,Adventure,Mystery,Drama,Family,Music,Comedy,avg_cast_gender,directing_avg_gender,production_avg_gender,writing_avg_gender,original_title
1919,Broken Blossoms or The Yellow Man and the Girl,0009968,2588,0,90,1919,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.75,2.0,2.0,2.0,Broken Blossoms
1920,"Cabinet of Dr. Caligari, The",0010323,1306,0,78,1920,de,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2.0,2.0,2.0,2.0,Das Cabinet des Dr. Caligari
1921,Orphans of the Storm,0012532,1263,3,150,1921,en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.5,2.0,2.0,2.0,Orphans of the Storm
1921,"Kid, The",0012349,3945,0,68,1921,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.7,2.0,2.0,2.0,The Kid
1922,"Phantom, The",0013496,1631,2,125,1922,de,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.2857142857142858,2.0,2.0,1.0,Phantom
1923,Why Worry?,0014611,1967,0,60,1923,en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.75,2.0,2.0,2.0,Why Worry?
1923,Our Hospitality,0014341,5949,0,73,1923,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.875,2.0,2.0,2.0,Our Hospitality
1923,A Woman of Paris,0014624,8947,2,78,1923,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6666666666666667,2.0,2.0,2.0,A Woman of Paris: A Drama of Fate
1924,Kriemhild&#39;s Revenge,0015174,1338,2,129,1924,de,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2.0,2.0,2.0,1.0,Die Nibelungen: Kriemhilds Rache
1924,"Thief of Bagdad, The",0015400,1264,0,149,1924,en,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1.75,2.0,2.0,2.0,The Thief of Bagdad
1924,Girl Shy,0014945,2016,0,80,1924,en,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.5,2.0,2.0,2.0,Girl Shy
1925,"Phantom of the Opera, The",0016220,1305,2,101,1925,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.75,2.0,2.0,2.0,The Phantom of the Opera
1925,"Gold Rush, The",0015864,1309,0,95,1925,en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1.8235294117647056,2.0,2.0,2.0,The Gold Rush
1925,Go West,0015863,1978,0,69,1925,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,2.0,2.0,2.0,Go West
1925,"Big Parade, The",0015624,5962,2,151,1925,en,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.4444444444444444,2.0,2.0,2.0,The Big Parade
1926,"General, The",0017925,1310,0,79,1926,en,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1.9230769230769231,2.0,2.0,2.0,The General
1927,Metropolis,0017136,1267,1,153,1927,de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7333333333333334,2.0,2.0,1.3333333333333333,Metropolis
1927,My Best Girl,0018183,2010,3,80,1927,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.75,2.0,1.0,1.5,My Best Girl
1927,"Jazz Singer, The",0018037,5975,1,89,1927,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.625,2.0,2.0,2.0,The Jazz Singer
1927,Downhill [When Boys Leave Home],0017825,7324,1,110,1927,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.2,2.0,2.0,1.5,Downhill
1928,Speedy,0019412,1963,0,86,1928,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9090909090909092,2.0,2.0,2.0,Speedy
1928,"Cameraman, The",0018742,1970,0,76,1928,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.875,2.0,2.0,2.0,The Cameraman
1928,"Steamboat Bill, Jr.",0019421,1971,0,70,1928,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.8,2.0,2.0,2.0,"Steamboat Bill, Jr."
1928,"Patsy, The",0019258,2013,3,78,1928,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.5,2.0,1.5,1.0,The Patsy
1928,"Crowd, The",0018806,5912,1,104,1928,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8,2.0,2.0,2.0,The Crowd
1928,"Docks of New York, The",0018839,5984,2,76,1928,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6666666666666667,2.0,2.0,2.0,The Docks of New York
1928,Our Dancing Daughters,0019237,9314,2,84,1928,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5,2.0,2.0,1.0,Our Dancing Daughters
1929,Blackmail,0019702,5979,2,84,1929,en,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.8571428571428572,2.0,2.0,2.0,Blackmail
1929,Juno and the Paycock [The Shame of Mary Boyle],0021015,7287,3,85,1930,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7142857142857142,2.0,2.0,1.5,Juno and the Paycock
1930,"Blue Angel, The",0020697,1315,1,108,1930,de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8888888888888888,2.0,2.0,2.0,Der blaue Engel
1930,Ladies of Leisure,0021040,3713,3,99,1930,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7142857142857142,2.0,2.0,2.0,Ladies of Leisure
1930,Morocco,0021156,3865,1,92,1930,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.75,2.0,2.0,2.0,Morocco
1930,"Bat Whispers, The",0020668,6782,3,83,1930,en,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.8333333333333333,2.0,2.0,2.0,The Bat Whispers
1930,Murder!,0021165,7291,3,104,1930,en,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.6666666666666667,2.0,2.0,1.5,Murder!
1931,Frankenstein,0021884,1317,1,71,1931,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.6428571428571428,2.0,2.0,1.6,Frankenstein
1931,Mata Hari,0023196,1333,3,89,1931,en,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1.6666666666666667,2.0,2.0,2.0,Mata Hari
1931,Tabu: A Story of the South Seas,0022458,1633,0,84,1931,en,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,2.0,2.0,2.0,Tabu
1931,Dracula,0021814,1985,2,72,1931,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.7142857142857142,2.0,2.0,2.0,Dracula
1931,City Lights,0021749,2705,3,87,1931,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.7857142857142858,2.0,2.0,2.0,City Lights
1931,"Smiling Lieutenant, The",0022074,4243,2,93,1931,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.6666666666666667,2.0,2.0,2.0,The Smiling Lieutenant
1931,"Public Enemy, The",0022286,5934,3,83,1931,en,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.5714285714285714,2.0,2.0,2.0,The Public Enemy
1931,La Chienne,0021739,6030,3,91,1931,fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6666666666666667,2.0,2.0,2.0,La Chienne
1931,Little Caesar,0021079,6043,1,79,1931,en,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.8,2.0,2.0,2.0,Little Caesar
1931,"Skin Game, The",0022395,7294,3,77,1931,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.75,2.0,2.0,1.5,The Skin Game
1931,Rich and Strange [East of Shanghai],0023395,7296,2,83,1931,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1.5,2.0,2.0,1.75,Rich and Strange
1931,Cimarron,0021746,8467,3,123,1931,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7272727272727273,2.0,2.0,1.5,Cimarron
1931,"Champ, The",0021730,9110,1,86,1931,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7777777777777777,2.0,2.0,1.0,The Champ
1932,I Am a Fugitive from a Chain Gang,0023042,1318,1,93,1932,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8529411764705883,2.0,2.0,2.0,I Am a Fugitive from a Chain Gang
1932,"Most Dangerous Game, The",0023238,3658,0,63,1932,en,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1.875,2.0,2.0,2.0,The Most Dangerous Game
1932,Freaks,0022913,3659,2,64,1932,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.4545454545454546,2.0,2.0,2.0,Freaks
1932,"Old Dark House, The",0023293,4775,3,72,1932,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.5,2.0,2.0,2.0,The Old Dark House
1932,Vampyr,0023649,5910,3,73,1932,de,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.6666666666666667,2.0,2.0,2.0,Vampyr - Der Traum des Allan Grey
1932,Three on a Match,0023590,6051,3,63,1932,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6,2.0,2.0,2.0,Three on a Match
1932,Love Me Tonight,0023158,6052,2,104,1932,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.6666666666666667,2.0,2.0,2.0,Love Me Tonight
1932,Scarface,0023427,6063,1,90,1932,en,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1.8,2.0,2.0,2.0,Scarface
1932,"Blue Light (Das Blaue Licht), The",0022694,6990,1,85,1932,de,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1.0,1.0,1.0,1.5,Das blaue Licht
1933,Footlight Parade,0024028,802,3,104,1933,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.6153846153846154,2.0,2.0,2.0,Footlight Parade
1933,Queen Christina,0024481,1330,3,99,1933,en,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.826086956521739,2.0,2.0,2.0,Queen Christina
1933,"Private Life of Henry VIII., The",0024473,1248,1,97,1933,en,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.6,2.0,2.0,2.0,The Private Life of Henry VIII
1933,King Kong,0024216,2229,0,100,1933,en,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1.9090909090909092,2.0,2.0,2.0,King Kong
1933,42nd Street,0024034,4335,3,89,1933,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.7272727272727273,2.0,2.0,2.0,42nd Street
1933,Gold Diggers of 1933,0024069,5916,3,97,1933,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5789473684210529,2.0,2.0,2.0,Gold Diggers of 1933
1933,"Invisible Man, The",0024184,7450,1,71,1933,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.8333333333333333,2.0,2.0,2.0,The Invisible Man
1933,Baby Face,0023775,7528,3,71,1933,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7,2.0,2.0,2.0,Baby Face
1933,Design for Living,0023940,8346,1,91,1933,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6470588235294117,2.0,2.0,2.0,Design for Living
1933,Sons of the Desert,0024601,10714,3,68,1933,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.7272727272727273,2.0,2.0,2.0,Sons of the Desert
1934,Cleopatra,0024991,1270,1,100,1934,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7142857142857142,2.0,2.0,2.0,Cleopatra
1934,Of Human Bondage,0025586,1379,1,83,1934,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5714285714285714,2.0,2.0,2.0,Of Human Bondage
1934,Evelyn Prentice,0025091,6772,3,79,1934,en,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.375,2.0,2.0,1.5,Evelyn Prentice
1934,"Man Who Knew Too Much, The",0025452,7304,3,75,1934,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.875,2.0,2.0,2.0,The Man Who Knew Too Much
1934,Imitation of Life,0025301,7999,3,111,1934,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.625,2.0,2.0,2.0,Imitation of Life
1934,It&#39;s a Gift,0025318,10824,3,68,1934,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6923076923076923,2.0,2.0,2.0,It's a Gift
1935,Top Hat,0027125,595,2,101,1935,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5,2.0,2.0,2.0,Top Hat
1935,"39 Steps, The",0026029,1242,3,86,1935,en,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1.5833333333333333,1.5,2.0,2.0,The 39 Steps
1935,Mutiny on the Bounty,0026752,1361,1,132,1935,en,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1.8421052631578947,2.0,2.0,2.0,Mutiny on the Bounty
1935,Roberta,0026942,2362,3,106,1935,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5833333333333333,2.0,2.0,2.0,Roberta
1935,Magnificent Obsession,0026667,2756,3,112,1935,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7272727272727273,2.0,2.0,1.5,Magnificent Obsession
1935,"Bride of Frankenstein, The",0026138,3891,3,75,1935,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.6666666666666667,2.0,2.0,2.0,Bride of Frankenstein
1935,Mad Love,0026663,7998,2,68,1935,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.7272727272727273,2.0,2.0,2.0,Mad Love
1936,Swing Time,0028333,596,1,103,1936,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5714285714285714,2.0,2.0,2.0,Swing Time
1936,Modern Times,0027977,1323,0,87,1936,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.9090909090909092,2.0,2.0,2.0,Modern Times
1936,San Francisco,0028216,1359,1,115,1936,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.8095238095238095,2.0,2.0,1.0,San Francisco
1936,Wife vs. Secretary,0028505,1360,2,88,1936,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.631578947368421,2.0,2.0,2.0,Wife vs. Secretary
1936,"Petrified Forest, The",0028096,1369,3,82,1936,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.625,2.0,2.0,2.0,The Petrified Forest
1936,Osaka Elegy,0028021,2853,3,71,1936,ja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6666666666666667,2.0,2.0,2.0,Naniwa erejî
1936,Theodora Goes Wild,0028355,3280,3,94,1936,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,2.0,2.0,1.5,Theodora Goes Wild
1936,Fury,0027652,6096,2,90,1936,en,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.8305084745762712,2.0,2.0,2.0,Fury
1936,These Three,0028356,7227,2,93,1936,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.25,2.0,2.0,1.0,These Three
1936,Secret Agent,0028231,7308,3,86,1936,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.625,2.0,2.0,2.0,Secret Agent
1937,Shall We Dance,0029546,597,1,109,1937,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.8846153846153848,2.0,2.0,2.0,Shall We Dance
1937,Stage Door,0029604,631,3,92,1937,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.3333333333333333,2.0,2.0,2.0,Stage Door
1937,Stella Dallas,0029608,795,3,106,1937,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.4375,2.0,2.0,1.5,Stella Dallas
1937,Topper,0029682,1335,2,97,1937,en,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.6363636363636365,2.0,2.0,2.0,Topper
1937,Knight Without Armor,0029087,1244,2,100,1937,en,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1.818181818181818,2.0,2.0,1.6666666666666667,Knight Without Armour
1937,Snow White and the Seven Dwarfs,0029583,1976,3,83,1937,en,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1.7,2.0,2.0,2.0,Snow White and the Seven Dwarfs
1937,A Day at the Races,0028772,2382,2,111,1937,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.75,2.0,2.0,2.0,A Day at the Races
1937,Nothing Sacred,0029322,3968,0,77,1937,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.619047619047619,2.0,2.0,2.0,Nothing Sacred
1937,"Awful Truth, The",0028597,6554,3,91,1937,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.5454545454545454,2.0,2.0,2.0,The Awful Truth
1937,"Girl Was Young, The",0029811,7317,3,83,1937,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7692307692307692,1.5,2.0,1.8,Young and Innocent
1937,Marked Woman,0029217,7877,3,96,1937,en,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1.5,2.0,2.0,2.0,Marked Woman
1938,Carefree,0029971,594,2,83,1938,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.7142857142857142,2.0,2.0,2.0,Carefree
1938,"Lady Vanishes, The",0030341,620,3,96,1938,en,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.5,2.0,2.0,1.6666666666666667,The Lady Vanishes
1938,Jezebel,0030287,1367,2,103,1938,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6923076923076923,2.0,2.0,2.0,Jezebel
1938,"Sisters, The",0030755,1378,2,99,1938,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5333333333333334,2.0,2.0,2.0,The Sisters
1938,Boys Town,0029942,2467,0,96,1938,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.9375,2.0,2.0,1.0,Boys Town
1938,"Adventures of Robin Hood, The",0029843,3103,2,102,1938,en,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.8823529411764703,2.0,2.0,2.0,The Adventures of Robin Hood
1938,Angels with Dirty Faces,0029870,7290,1,97,1938,en,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.8888888888888888,1.0,2.0,2.0,Angels with Dirty Faces
1939,Dodge City,0031235,383,2,104,1939,en,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.875,1.0,2.0,2.0,Dodge City
1939,"Women, The",0032143,588,3,133,1939,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0350877192982455,2.0,2.0,1.6666666666666667,The Women
1939,Wuthering Heights,0032145,1239,2,104,1939,en,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1.75,2.0,2.0,2.0,Wuthering Heights
1939,Ninotchka,0031725,1259,3,110,1939,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6774193548387095,2.0,2.0,2.0,Ninotchka
1939,Essex and Elizabeth,0031826,1371,2,106,1939,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7222222222222223,1.0,2.0,2.0,The Private Lives of Elizabeth and Essex
