id,imdb_id,runtime,release_date,original_language,Western,Romance,War,Crime,TV Movie,Western,Foreign,History,Thriller,Action,Horror,Fantasy,Animation,Adventure,Mystery,Drama,Family,Music,Comedy,avg_cast_gender,directing_avg_gender,production_avg_gender,writing_avg_gender
862,tt0114709,81.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1.75,2.0,1.5,2.0
8844,tt0113497,104.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1.6,2.0,2.0,2.0
15602,tt0113228,101.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5714285714285714,2.0,,2.0
31357,tt0114885,127.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.6,2.0,1.5,
11862,tt0113041,106.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5454545454545454,2.0,1.0,1.5
949,tt0113277,170.0,1995,en,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1.6666666666666667,1.5,1.8,2.0
11860,tt0114319,127.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4130434782608696,1.5,1.5454545454545454,1.5
45325,tt0112302,97.0,1995,en,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1.5714285714285714,2.0,,2.0
9091,tt0114576,106.0,1995,en,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.8333333333333333,2.0,2.0,1.5
710,tt0113189,130.0,1995,en,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.631578947368421,2.0,1.5,2.0
9087,tt0112346,106.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.588235294117647,2.0,2.0,2.0
12110,tt0112896,88.0,1995,en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.6363636363636365,2.0,2.0,2.0
21032,tt0112453,78.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.7272727272727273,2.0,1.5,1.6666666666666667
1408,tt0112760,119.0,1995,en,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.9090909090909092,2.0,1.8333333333333333,2.0
524,tt0112641,178.0,1995,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.896551724137931,2.0,1.3333333333333333,2.0
4584,tt0114388,136.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5625,2.0,1.5,1.0
5,tt0113101,98.0,1995,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3636363636363635,1.8,1.8571428571428572,1.75
9273,tt0112281,90.0,1995,en,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.9090909090909092,2.0,2.0,2.0
11517,tt0113845,103.0,1995,en,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.8571428571428572,2.0,1.7142857142857142,
8012,tt0113161,105.0,1995,en,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.8571428571428572,2.0,1.6,2.0
1710,tt0112722,124.0,1995,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.7,2.0,1.8571428571428572,1.0
9691,tt0112401,132.0,1995,en,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.8,2.0,1.7777777777777777,1.2
12665,tt0114168,111.0,1995,en,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1.8,2.0,2.0,2.0
451,tt0113627,112.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5,2.0,1.4,2.0
16420,tt0114057,123.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.75,2.0,,2.0
9263,tt0114011,100.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.2857142857142858,1.0,1.0,
17015,tt0114117,104.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5555555555555556,2.0,,1.5
902,tt0112682,108.0,1995,fr,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.6666666666666667,2.0,1.0,2.0
37557,tt0115012,108.0,1995,zh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,2.0,,
9909,tt0112792,99.0,1995,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5555555555555556,2.0,1.5,
63,tt0114746,129.0,1995,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.7636363636363637,2.0,1.8571428571428572,1.5
78802,tt0114952,50.0,1996,fr,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.8,2.0,1.5,2.0
9598,tt0112431,89.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1.5,2.0,2.0,2.0
47018,tt0112637,121.0,1995,en,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.6363636363636365,2.0,2.0,2.0
