id,imdb_id,title,original_title,runtime,release_date,original_language,Western,Romance,War,Crime,TV Movie,Western,Foreign,History,Thriller,Action,Horror,Fantasy,Animation,Adventure,Mystery,Drama,Family,Music,Comedy,avg_cast_gender,directing_avg_gender,production_avg_gender,writing_avg_gender
862,tt0114709,Toy Story,Toy Story,81.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1.75,2.0,1.5,2.0
8844,tt0113497,Jumanji,Jumanji,104.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1.6,2.0,2.0,2.0
15602,tt0113228,Grumpier Old Men,Grumpier Old Men,101.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5714285714285714,2.0,,2.0
31357,tt0114885,Waiting to Exhale,Waiting to Exhale,127.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.6,2.0,1.5,
11862,tt0113041,Father of the Bride Part II,Father of the Bride Part II,106.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5454545454545454,2.0,1.0,1.5
949,tt0113277,Heat,Heat,170.0,1995,en,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1.6666666666666667,1.5,1.8,2.0
11860,tt0114319,Sabrina,Sabrina,127.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4130434782608696,1.5,1.5454545454545454,1.5
45325,tt0112302,Tom and Huck,Tom and Huck,97.0,1995,en,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1.5714285714285714,2.0,,2.0
9091,tt0114576,Sudden Death,Sudden Death,106.0,1995,en,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.8333333333333333,2.0,2.0,1.5
710,tt0113189,GoldenEye,GoldenEye,130.0,1995,en,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.631578947368421,2.0,1.5,2.0
9087,tt0112346,The American President,The American President,106.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.588235294117647,2.0,2.0,2.0
12110,tt0112896,Dracula: Dead and Loving It,Dracula: Dead and Loving It,88.0,1995,en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.6363636363636365,2.0,2.0,2.0
21032,tt0112453,Balto,Balto,78.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.7272727272727273,2.0,1.5,1.6666666666666667
1408,tt0112760,Cutthroat Island,Cutthroat Island,119.0,1995,en,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.9090909090909092,2.0,1.8333333333333333,2.0
524,tt0112641,Casino,Casino,178.0,1995,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.896551724137931,2.0,1.3333333333333333,2.0
4584,tt0114388,Sense and Sensibility,Sense and Sensibility,136.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5625,2.0,1.5,1.0
5,tt0113101,Four Rooms,Four Rooms,98.0,1995,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3636363636363635,1.8,1.8571428571428572,1.75
9273,tt0112281,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,90.0,1995,en,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.9090909090909092,2.0,2.0,2.0
11517,tt0113845,Money Train,Money Train,103.0,1995,en,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.8571428571428572,2.0,1.7142857142857142,
8012,tt0113161,Get Shorty,Get Shorty,105.0,1995,en,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.8571428571428572,2.0,1.6,2.0
1710,tt0112722,Copycat,Copycat,124.0,1995,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.7,2.0,1.8571428571428572,1.0
9691,tt0112401,Assassins,Assassins,132.0,1995,en,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.8,2.0,1.7777777777777777,1.2
12665,tt0114168,Powder,Powder,111.0,1995,en,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1.8,2.0,2.0,2.0
451,tt0113627,Leaving Las Vegas,Leaving Las Vegas,112.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5,2.0,1.4,2.0
16420,tt0114057,Othello,Othello,123.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.75,2.0,,2.0
9263,tt0114011,Now and Then,Now and Then,100.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.2857142857142858,1.0,1.0,
17015,tt0114117,Persuasion,Persuasion,104.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5555555555555556,2.0,,1.5
902,tt0112682,The City of Lost Children,La Cité des Enfants Perdus,108.0,1995,fr,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.6666666666666667,2.0,1.0,2.0
37557,tt0115012,Shanghai Triad,摇啊摇，摇到外婆桥,108.0,1995,zh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,2.0,,
9909,tt0112792,Dangerous Minds,Dangerous Minds,99.0,1995,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5555555555555556,2.0,1.5,
63,tt0114746,Twelve Monkeys,Twelve Monkeys,129.0,1995,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.7636363636363637,2.0,1.8571428571428572,1.5
78802,tt0114952,Wings of Courage,"Guillaumet, les ailes du courage",50.0,1996,fr,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.8,2.0,1.5,2.0
9598,tt0112431,Babe,Babe,89.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1.5,2.0,2.0,2.0
47018,tt0112637,Carrington,Carrington,121.0,1995,en,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.6363636363636365,2.0,2.0,2.0
687,tt0112818,Dead Man Walking,Dead Man Walking,122.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6774193548387097,1.75,1.8888888888888888,1.5
139405,tt0112286,Across the Sea of Time,Across the Sea of Time,51.0,1995,en,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2.0,2.0,1.5,
33689,tt0113442,It Takes Two,It Takes Two,101.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.3333333333333333,2.0,,
9603,tt0112697,Clueless,Clueless,97.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.5,1.0,1.5,1.0
34615,tt0112749,"Cry, the Beloved Country","Cry, the Beloved Country",106.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6666666666666667,,,2.0
31174,tt0114279,Richard III,Richard III,104.0,1995,en,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8235294117647058,2.0,,2.0
11443,tt0112819,Dead Presidents,Dead Presidents,119.0,1995,en,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1.7692307692307692,2.0,2.0,2.0
35196,tt0114272,Restoration,Restoration,117.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7,2.0,,
9312,tt0113855,Mortal Kombat,Mortal Kombat,101.0,1995,en,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.8571428571428572,1.5,1.6666666666666667,
577,tt0114681,To Die For,To Die For,106.0,1995,en,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1.5833333333333333,2.0,1.5,1.0
11861,tt0113347,How To Make An American Quilt,How To Make An American Quilt,116.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.3870967741935485,1.0,1.1428571428571428,1.0
807,tt0114369,Se7en,Se7en,127.0,1995,en,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.8421052631578947,2.0,1.5333333333333334,2.0
10530,tt0114148,Pocahontas,Pocahontas,81.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1.7857142857142858,2.0,2.0,1.6666666666666667
8391,tt0114916,When Night Is Falling,When Night Is Falling,96.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6666666666666667,1.0,1.5,1.0
629,tt0114814,The Usual Suspects,The Usual Suspects,106.0,1995,en,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.8666666666666667,2.0,1.4444444444444444,2.0
117164,tt0109950,Guardian Angel,Guardian Angel,93.0,1994,en,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1.6666666666666667,2.0,,
11448,tt0113819,Mighty Aphrodite,Mighty Aphrodite,95.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6363636363636365,1.5,1.5,2.0
49133,tt0110299,Lamerica,Lamerica,116.0,1994,it,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.0,,2.0
26441,tt0112499,The Big Green,The Big Green,100.0,1995,en,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1.8,1.0,,1.0
97406,tt0113158,Georgia,Georgia,115.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.75,2.0,,
124057,tt0113541,Kids of the Round Table,Kids of the Round Table,89.0,1997,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,2.0,,2.0
9089,tt0113321,Home for the Holidays,Home for the Holidays,103.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.5,1.0,1.0,2.0
11010,tt0110877,The Postman,Il postino,108.0,1994,it,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.8,2.0,2.0,2.0
99040,tt0112714,The Confessional,Le confessionnal,100.0,1995,fr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.5,2.0,,2.0
